episode,avg_score,avg_max_tile,loss,actor_loss,critic_loss,entropy,elapsed_s
14350,6022.4,422.4,0.16165,0.12964,0.06804,0.20112,1510.6
14400,5684.8,393.0,0.25166,0.09295,0.32346,0.30173,1527.5
14450,5702.4,393.0,0.3831,-0.03828,0.84761,0.24234,1545.3
14500,6086.7,436.5,0.27669,0.0551,0.4475,0.21627,1563.7
14550,6109.4,432.6,0.13645,0.02215,0.23221,0.18046,1582.1
14600,5869.0,409.9,0.28466,0.02729,0.51658,0.0922,1599.6
14650,5800.8,406.1,0.80793,-0.05388,1.72575,0.10648,1617.5
14700,5677.8,382.7,0.14476,0.03133,0.22863,0.08835,1634.4
14750,5424.3,380.2,0.10553,-0.00049,0.21377,0.08674,1650.6
14800,5329.8,384.0,0.58775,-0.1091,1.39818,0.22421,1667.1
14850,5550.5,387.2,0.23331,-0.01142,0.49299,0.17662,1684.8
14900,6011.2,411.5,0.14548,0.05938,0.17563,0.1714,1703.8
14950,6242.1,426.2,0.30808,0.06288,0.49278,0.11899,1722.6
15000,6013.0,418.6,0.12263,0.06484,0.11853,0.14757,1740.3
15050,5436.3,380.2,0.11566,-0.01058,0.25456,0.10462,1756.5
15100,5529.2,390.1,0.14343,0.02683,0.23525,0.10266,1774.7
15150,6011.1,425.9,0.58274,-0.10482,1.37869,0.17788,1793.1
15200,6183.8,431.4,0.14627,0.04833,0.1991,0.1609,1812.1
15250,6417.2,449.0,0.27103,0.01624,0.51239,0.14012,1831.5
15300,6160.2,429.1,0.25604,0.03695,0.44049,0.11537,1849.4
15350,5665.1,398.1,0.08526,0.04263,0.08781,0.12714,1866.1
15400,5904.4,425.6,0.18306,0.0404,0.28806,0.13638,1884.6
15450,6671.0,473.0,0.31942,0.04362,0.55429,0.13437,1905.3
15500,6498.3,454.4,0.27797,-0.00596,0.57178,0.19639,1923.3
15550,6264.2,432.0,0.30753,-0.08971,0.79932,0.24236,1942.8
15600,5847.5,401.9,0.40671,0.03366,0.74845,0.11795,1958.8
15650,5352.2,376.3,0.13057,0.06777,0.12854,0.14774,1976.1
15700,5990.4,419.8,0.52952,0.02822,1.0041,0.07398,1995.1
15750,6160.0,433.9,0.18208,-0.04694,0.45953,0.07466,2013.1
15800,5699.4,406.4,0.05515,-0.0024,0.11686,0.08792,2030.1
15850,5748.7,406.4,0.28062,0.0456,0.47275,0.1355,2048.2
15900,5666.1,391.0,0.09747,0.00831,0.181,0.13405,2064.8
15950,5533.8,374.4,0.15797,-0.06404,0.44651,0.12449,2082.8
16000,5560.2,381.4,0.01444,-0.00554,0.04217,0.10963,2099.4
16050,5469.6,395.5,0.0965,0.00859,0.17844,0.13065,2116.7
16100,5737.7,413.4,0.14937,0.0117,0.27683,0.07398,2134.6
16150,5650.5,394.2,0.31574,0.01982,0.59403,0.10939,2151.2
16200,5847.2,420.5,0.05734,0.01344,0.08994,0.10787,2169.9
16250,6193.0,447.4,0.35609,-0.02499,0.76421,0.10309,2188.3
16300,6164.7,426.2,0.09791,-0.00497,0.20745,0.08452,2207.2
16350,6610.2,441.6,0.08747,0.02567,0.12577,0.10934,2228.2
16400,6609.4,449.3,0.20618,0.02663,0.36071,0.07962,2246.9
16450,6284.3,445.4,0.4525,-0.04591,0.99962,0.14001,2265.9
16500,6245.4,448.6,0.07693,0.0153,0.12597,0.13476,2284.5
16550,6081.7,443.5,0.33902,0.03819,0.60434,0.13382,2302.4
16600,6111.6,440.3,0.13938,0.01457,0.25202,0.12012,2321.0
16650,6257.3,433.9,0.08975,-0.00041,0.18249,0.10735,2339.9
16700,6324.9,442.9,0.09107,0.01771,0.14903,0.11621,2359.1
16750,6331.0,453.1,0.11162,0.04244,0.14118,0.14142,2378.0
16800,6083.4,429.4,0.44133,0.02898,0.82702,0.1156,2395.8
16850,6325.2,440.3,0.32304,-0.00132,0.65186,0.15602,2416.2
16900,6258.4,443.5,0.11602,0.03358,0.16905,0.20923,2433.7
16950,5701.8,395.5,0.45022,-0.08382,1.07213,0.20262,2451.5
17000,6299.0,422.4,0.25856,0.00347,0.51369,0.17573,2472.0
17050,6837.3,468.5,0.15834,0.06432,0.1914,0.16793,2492.2
17100,6371.8,449.9,0.06467,0.03398,0.06443,0.15245,2510.2
17150,5607.3,394.2,0.2523,0.01038,0.48916,0.2656,2526.5
17200,5705.0,398.7,0.34661,0.09163,0.51406,0.20485,2545.1
17250,6425.0,454.4,0.3065,0.11576,0.38501,0.1762,2564.6
17300,6268.3,437.8,0.1018,0.0276,0.15277,0.2187,2582.6
17350,5639.9,385.9,0.33552,0.02683,0.62239,0.25099,2599.5
17400,5334.2,366.7,0.18331,0.08749,0.19545,0.19052,2615.9
17450,5836.3,393.6,0.45109,-0.06046,1.03092,0.39039,2635.2
17500,5915.3,407.4,0.21188,0.05653,0.31731,0.33066,2651.5
17550,5874.2,428.5,0.46587,0.04453,0.84538,0.1343,2670.3
17600,5858.3,420.5,0.21327,0.07821,0.27412,0.19977,2687.1
17650,5467.3,380.8,0.35306,0.02945,0.64971,0.12406,2704.2
17700,5652.0,400.0,0.20252,0.06074,0.28694,0.16953,2721.8
17750,6011.0,414.1,0.06129,0.0406,0.04432,0.14758,2741.0
17800,6024.4,412.8,0.28236,0.07625,0.41528,0.1529,2758.5
17850,6195.4,441.0,0.13555,0.09045,0.09546,0.26284,2778.0
17900,6379.9,453.1,0.1609,0.12035,0.08497,0.19347,2796.3
17950,5947.2,404.8,0.24445,0.09411,0.30467,0.19871,2814.1
18000,5883.2,404.8,0.84104,-0.0362,1.76263,0.40799,2832.1
18050,5573.3,400.0,0.09921,0.03372,0.13345,0.12381,2848.0
